RegionName,PRICE/FT.,POPULATION,UNEMPLOYMENT_RATE,AVERAGE_SALARY/MON,MORTALITY_RATE
Connecticut,7938,3584730,116,2925,798
Maine,1726,1329453,23,311,461
Massachusetts,26453,6784240,131,5266,2082
New Hampshire,2692,1330111,15,475,644
Rhode Island,2565,1055607,31,547,467
Vermont,747,626088,10,105,150
New Jersey,747,626088,10,105,150
New York,75126,19747183,613,23879,6141
Pennsylvania,40348,12791904,665,12965,4299
Illinois,49755,12839047,754,15056,4926
Indiana,25373,6612768,370,7081,2386
Michigan,41712,9917715,585,7818,6710
Ohio,34373,11605090,522,12617,5441
Wisconsin,17549,5767891,240,5234,1805
Iowa,8619,3121997,73,1050,1205
Kansas,11483,2906721,126,1823,1684
Minnesota,13319,5482435,133,3771,2321
Missouri,30292,6076204,503,6383,2573
Nebraska,5167,1893765,62,994,885
North Dakota,1949,756835,21,159,391
South Dakota,3302,857919,33,215,500
Delaware,4760,944076,62,1240,361
Florida,93625,20244914,1041,21137,7552
Georgia,38891,10199398,622,12545,3257
Maryland,28185,5994983,538,10111,1717
North Carolina,34734,10035186,517,8821,2591
South Carolina,24448,4894834,407,3950,2439
Virginia,16705,8367587,390,4459,2499
West Virginia,6397,1841053,85,783,710
Alabama,22957,4853875,348,4612,2037
Kentucky,9887,4424611,219,3314,1644
Mississippi,8190,2989390,253,2312,1158
Tennessee,40816,6595056,418,7499,2801
Arkansas,15769,2977853,189,2117,2008
Louisiana,25202,4668960,492,5561,1733
Oklahoma,16746,3907414,240,3018,1953
Texas,113193,27429639,1317,31924,12323
Arizona,27968,6817565,306,6360,3109
Colorado,17348,5448819,173,3315,3328
Idaho,3593,1652828,32,191,703
Montana,3647,1032073,38,210,572
Nevada,20118,2883758,178,6287,1688
New Mexico,13672,2080328,117,2485,1663
Utah,7138,2990632,57,1329,1704
Wyoming,1300,586555,16,59,171
Alaska,5391,737709,59,761,900
California,166883,38993940,1861,52862,12811
Hawaii,3530,1425157,29,1085,538
Oregon,10680,4024634,110,2163,1650
Washington,20505,7160290,218,5450,2778
